Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:483;None;None;X=-75.677 Y=-226.732 Z=-3.331;P=-66.980309 Y=-136.795837 R=50.323689;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-88.134 Y=-257.558 Z=15.857;P=-8.212742 Y=60.967442 R=0.822518;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:0:984;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-89.225 Y=-255.806 Z=15.344;P=-11.552028 Y=65.330566 R=1.726013;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:482;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.860 Y=-255.710 Z=15.850;P=-7.986635 Y=61.109905 R=1.704179;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:982;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.685 Y=-255.724 Z=15.847;P=-7.829678 Y=59.370522 R=1.811599;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:490;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.717 Y=-256.531 Z=15.681;P=-8.708498 Y=59.117935 R=1.777285;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:981;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.353 Y=-256.666 Z=15.818;P=-6.151521 Y=60.080921 R=2.553282;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:481;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.800 Y=-256.519 Z=15.695;P=-7.118778 Y=59.384750 R=2.038327;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:980;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.964 Y=-256.538 Z=15.499;P=-8.774019 Y=60.437042 R=2.306415;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:481;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.208 Y=-256.573 Z=15.495;P=-8.912078 Y=60.832542 R=2.299255;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:982;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.487 Y=-257.140 Z=15.435;P=-10.013515 Y=61.299744 R=2.563987;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:5:482;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.976 Y=-256.979 Z=15.447;P=-9.344695 Y=61.509388 R=1.561741;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:5:982;None;None;X=-79.027 Y=-231.597 Z=-7.127;P=-72.946098 Y=-130.843094 R=29.409512;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.085 Y=-256.652 Z=15.437;P=-9.330202 Y=62.303043 R=2.016135;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:6:482;None;None;X=-82.911 Y=-229.776 Z=-10.725;P=-64.636963 Y=-117.303658 R=20.525551;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.759 Y=-256.212 Z=15.218;P=-10.603301 Y=66.479713 R=1.786336;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:6:981;None;None;X=-82.268 Y=-230.311 Z=-10.560;P=-65.162964 Y=-117.647301 R=19.519428;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.617 Y=-256.388 Z=15.155;P=-10.722324 Y=67.323105 R=1.298397;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:7:481;None;None;X=-82.268 Y=-230.311 Z=-10.560;P=-65.162964 Y=-117.647301 R=19.519428;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-87.260 Y=-257.010 Z=15.204;P=-10.822564 Y=65.420952 R=1.806693;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:7:981;None;None;X=-82.268 Y=-230.311 Z=-10.560;P=-65.162964 Y=-117.647301 R=19.519428;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.759 Y=-257.063 Z=15.086;P=-11.332943 Y=63.681320 R=1.528461;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:8:480;None;None;X=-82.268 Y=-230.311 Z=-10.560;P=-65.162964 Y=-117.647301 R=19.519428;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.361 Y=-257.295 Z=15.056;P=-11.544372 Y=61.934757 R=1.684324;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:8:982;None;None;X=-58.907 Y=-208.433 Z=-2.826;P=-54.835045 Y=-138.739853 R=67.934540;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-85.863 Y=-256.803 Z=15.352;P=-11.719504 Y=61.337036 R=2.108867;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:9:480;None;None;X=-61.478 Y=-213.352 Z=-4.681;P=-52.979244 Y=-137.324860 R=64.971107;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-85.878 Y=-257.595 Z=15.337;P=-10.475918 Y=59.770721 R=2.580227;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:9:982;None;None;X=-63.457 Y=-217.859 Z=-5.062;P=-58.805489 Y=-143.408493 R=63.377514;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.082 Y=-257.758 Z=15.086;P=-11.571719 Y=60.069981 R=3.199766;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:10:483;None;None;X=-63.457 Y=-217.859 Z=-5.062;P=-58.805489 Y=-143.408493 R=63.377514;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.082 Y=-257.758 Z=15.086;P=-11.571719 Y=60.069981 R=3.199766;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:10:982;None;None;X=-63.457 Y=-217.859 Z=-5.062;P=-58.805489 Y=-143.408493 R=63.377514;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.082 Y=-257.758 Z=15.086;P=-11.571719 Y=60.069981 R=3.199766;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:11:482;None;None;X=-63.457 Y=-217.859 Z=-5.062;P=-58.805489 Y=-143.408493 R=63.377514;X=-69.919 Y=-254.248 Z=-41.406;P=-26.168257 Y=61.187275 R=-95.352974;X=-86.082 Y=-257.758 Z=15.086;P=-11.571719 Y=60.069981 R=3.199766;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
