Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;EyeTrackerPos
0:0:47;None;None;X=-9.084 Y=-23.066 Z=-21.322;P=-30.124617 Y=107.485565 R=69.869553;X=-15.878 Y=-37.010 Z=-16.062;P=43.948734 Y=-36.067364 R=119.571648;X=-32.377 Y=-8.351 Z=3.417;P=-26.445869 Y=-37.579147 R=0.390088;0;X=0.000 Y=0.000 Z=0.000
0:0:547;None;None;X=-16.127 Y=-13.577 Z=-27.891;P=-29.949100 Y=106.121124 R=61.220650;X=-17.631 Y=-30.637 Z=-29.115;P=32.163906 Y=-18.842562 R=154.122711;X=-31.113 Y=-8.281 Z=3.260;P=-26.763180 Y=-30.275608 R=0.540123;0;X=0.000 Y=0.000 Z=0.000
0:1:47;None;None;X=-9.054 Y=-11.468 Z=-37.971;P=-7.715429 Y=130.175400 R=48.667828;X=-15.349 Y=-22.774 Z=-42.185;P=-0.720120 Y=-5.799376 R=-174.460938;X=-28.478 Y=-10.892 Z=2.211;P=-30.955070 Y=-36.354485 R=4.347215;0;X=0.000 Y=0.000 Z=0.000
0:1:547;None;None;X=-16.094 Y=-7.717 Z=-52.919;P=15.460617 Y=133.142853 R=40.997711;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.132 Y=-0.294 Z=1.551;P=-29.321598 Y=41.515244 R=-8.861095;0;X=0.000 Y=0.000 Z=0.000
0:2:46;None;None;X=-4.174 Y=16.224 Z=-33.320;P=-11.749236 Y=163.033585 R=58.686375;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-28.449 Y=1.563 Z=0.272;P=-35.024689 Y=46.717117 R=-6.521369;0;X=0.000 Y=0.000 Z=0.000
0:2:545;None;None;X=7.472 Y=40.591 Z=-37.503;P=-19.011456 Y=-162.012527 R=72.633751;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.063 Y=3.781 Z=0.140;P=-34.903625 Y=45.152546 R=-7.232980;0;X=0.000 Y=0.000 Z=0.000
0:3:47;None;None;X=8.397 Y=38.123 Z=-35.847;P=-28.206938 Y=-175.092834 R=68.599655;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-25.603 Y=4.198 Z=0.024;P=-34.900963 Y=44.854500 R=-7.155525;0;X=0.000 Y=0.000 Z=0.000
0:3:546;None;None;X=-2.126 Y=45.565 Z=-36.714;P=-11.181531 Y=-158.237122 R=81.238274;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.494 Y=4.763 Z=-0.007;P=-34.455193 Y=49.480812 R=-8.526528;0;X=0.000 Y=0.000 Z=0.000
0:4:48;None;None;X=5.105 Y=41.338 Z=-35.598;P=-25.282845 Y=-170.010422 R=64.053864;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-25.841 Y=4.978 Z=-0.049;P=-34.708920 Y=46.490818 R=-6.877418;0;X=0.000 Y=0.000 Z=0.000
0:4:546;None;None;X=14.738 Y=37.095 Z=-38.364;P=-10.822687 Y=-176.824341 R=85.797997;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-24.424 Y=4.865 Z=-0.229;P=-35.835106 Y=39.279202 R=-3.108826;0;X=0.000 Y=0.000 Z=0.000
0:5:46;None;None;X=13.010 Y=34.686 Z=-37.750;P=-14.768193 Y=165.890717 R=78.543411;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-24.775 Y=4.773 Z=-0.111;P=-34.934566 Y=40.013733 R=-3.098908;0;X=0.000 Y=0.000 Z=0.000
0:5:546;None;None;X=-2.734 Y=43.082 Z=-34.271;P=-2.885891 Y=-166.512878 R=84.447395;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.099 Y=5.375 Z=0.282;P=-32.970947 Y=47.605034 R=-5.239993;0;X=0.000 Y=0.000 Z=0.000
0:6:48;None;None;X=-0.624 Y=44.132 Z=-33.813;P=-11.598672 Y=-166.877655 R=87.985779;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.543 Y=5.033 Z=0.531;P=-31.963993 Y=47.643608 R=-5.442418;0;X=0.000 Y=0.000 Z=0.000
0:6:547;None;None;X=-0.317 Y=42.728 Z=-29.907;P=-19.006483 Y=-176.764526 R=91.802528;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.665 Y=5.048 Z=0.551;P=-32.053162 Y=48.051121 R=-5.898777;0;X=0.000 Y=0.000 Z=0.000
0:7:47;None;None;X=1.473 Y=41.268 Z=-29.559;P=-29.956129 Y=172.244720 R=89.038445;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.433 Y=5.251 Z=0.364;P=-32.733429 Y=47.757236 R=-6.092170;0;X=0.000 Y=0.000 Z=0.000
0:7:546;None;None;X=3.910 Y=45.155 Z=-37.167;P=-19.123545 Y=-179.703873 R=84.248314;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.854 Y=5.587 Z=-0.100;P=-34.364708 Y=47.128418 R=-6.307318;0;X=0.000 Y=0.000 Z=0.000
0:8:47;None;None;X=3.290 Y=45.023 Z=-36.955;P=-15.029407 Y=-170.456802 R=81.865685;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.763 Y=5.735 Z=-0.230;P=-34.959385 Y=47.003025 R=-6.174963;0;X=0.000 Y=0.000 Z=0.000
0:8:546;None;None;X=3.248 Y=44.655 Z=-36.264;P=-20.621405 Y=-177.332748 R=86.465042;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.645 Y=5.692 Z=-0.346;P=-35.232903 Y=46.612556 R=-6.090977;0;X=0.000 Y=0.000 Z=0.000
0:9:47;None;None;X=3.351 Y=45.010 Z=-35.315;P=-15.411481 Y=-171.942642 R=84.084602;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.539 Y=5.798 Z=-0.487;P=-35.503483 Y=46.466320 R=-6.038947;0;X=0.000 Y=0.000 Z=0.000
0:9:547;None;None;X=3.033 Y=44.746 Z=-35.793;P=-12.864312 Y=-171.276016 R=82.020660;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.501 Y=5.707 Z=-0.517;P=-35.613914 Y=46.429413 R=-6.300632;0;X=0.000 Y=0.000 Z=0.000
0:10:47;None;None;X=2.362 Y=44.353 Z=-37.430;P=-10.403682 Y=-172.560257 R=79.646599;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.525 Y=5.712 Z=-0.606;P=-35.789516 Y=46.445690 R=-6.280400;0;X=0.000 Y=0.000 Z=0.000
0:10:548;None;None;X=3.464 Y=43.280 Z=-36.015;P=-19.772215 Y=179.757294 R=82.683891;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.590 Y=5.677 Z=-0.582;P=-35.932430 Y=46.272083 R=-6.194130;0;X=0.000 Y=0.000 Z=0.000
0:11:48;None;None;X=1.556 Y=40.596 Z=-27.343;P=-23.683653 Y=-178.252090 R=78.746330;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.392 Y=4.739 Z=0.173;P=-33.409019 Y=45.550636 R=-6.255223;0;X=0.000 Y=0.000 Z=0.000
0:11:548;None;None;X=2.112 Y=40.121 Z=-31.006;P=-17.475010 Y=-170.662247 R=56.542370;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.538 Y=3.854 Z=0.199;P=-32.828129 Y=45.172737 R=-6.746619;0;X=0.000 Y=0.000 Z=0.000
0:12:48;None;None;X=3.127 Y=41.659 Z=-33.148;P=-9.964897 Y=-161.912903 R=34.743458;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.135 Y=4.422 Z=-0.095;P=-33.745697 Y=45.448708 R=-6.610877;0;X=0.000 Y=0.000 Z=0.000
0:12:547;None;None;X=4.091 Y=41.173 Z=-34.002;P=-8.859609 Y=-163.535660 R=27.304646;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.677 Y=5.021 Z=-0.353;P=-34.869987 Y=45.638180 R=-6.692510;0;X=0.000 Y=0.000 Z=0.000
0:13:48;None;None;X=3.375 Y=41.338 Z=-33.575;P=-10.314979 Y=-164.702469 R=26.975883;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.619 Y=5.114 Z=-0.446;P=-35.063011 Y=45.679848 R=-6.589206;0;X=0.000 Y=0.000 Z=0.000
0:13:547;None;None;X=2.277 Y=41.733 Z=-33.823;P=-7.863309 Y=-165.664627 R=28.071209;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.637 Y=4.996 Z=-0.463;P=-35.188347 Y=45.664387 R=-6.749853;0;X=0.000 Y=0.000 Z=0.000
0:14:49;None;None;X=0.788 Y=43.040 Z=-33.659;P=-9.223986 Y=-162.594696 R=33.900127;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.787 Y=5.177 Z=-0.530;P=-35.220242 Y=46.189995 R=-6.614386;0;X=0.000 Y=0.000 Z=0.000
0:14:548;None;None;X=-2.800 Y=47.026 Z=-38.447;P=-10.411304 Y=-159.717300 R=77.183922;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-27.537 Y=5.352 Z=-0.475;P=-34.911808 Y=47.316742 R=-6.261906;0;X=0.000 Y=0.000 Z=0.000
0:15:33;None;None;X=1.087 Y=45.817 Z=-36.569;P=-24.335197 Y=-169.424026 R=80.863991;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.925 Y=5.529 Z=-0.695;P=-35.700241 Y=47.287643 R=-6.736608;0;X=0.000 Y=0.000 Z=0.000
0:15:548;None;None;X=-1.016 Y=44.906 Z=-33.714;P=-17.977795 Y=-163.341278 R=79.727608;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.705 Y=5.497 Z=-0.765;P=-35.816612 Y=47.820129 R=-7.309121;0;X=0.000 Y=0.000 Z=0.000
0:16:48;None;None;X=-2.186 Y=44.909 Z=-35.435;P=-13.527060 Y=-159.022156 R=69.317085;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.849 Y=5.370 Z=-0.724;P=-35.635494 Y=47.449764 R=-7.147894;0;X=0.000 Y=0.000 Z=0.000
0:16:549;None;None;X=-1.989 Y=44.967 Z=-34.682;P=-17.569042 Y=-160.664917 R=69.199402;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.824 Y=5.410 Z=-0.696;P=-35.539764 Y=47.612263 R=-7.258431;0;X=0.000 Y=0.000 Z=0.000
0:17:49;None;None;X=-2.759 Y=45.560 Z=-34.312;P=-17.673012 Y=-159.142929 R=68.261017;X=-3.645 Y=-17.668 Z=-60.183;P=-13.637155 Y=1.887730 R=179.314178;X=-26.847 Y=5.297 Z=-0.748;P=-35.565796 Y=47.744984 R=-7.256144;0;X=0.000 Y=0.000 Z=0.000
