Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:465;None;None;X=-13.380 Y=10.800 Z=-22.701;P=-36.227608 Y=140.765137 R=70.769577;X=-20.777 Y=-17.140 Z=-75.482;P=-37.288818 Y=-6.005942 R=-156.738968;X=-31.698 Y=6.207 Z=3.199;P=-28.198639 Y=-5.991887 R=4.061401;0;0;X=-30.108 Y=6.457 Z=2.271;X=0.804 Y=-0.091 Z=-0.588
0:0:929;None;None;X=-25.908 Y=19.675 Z=-75.382;P=42.829891 Y=162.091644 R=10.215079;X=-20.777 Y=-17.140 Z=-75.482;P=-37.288818 Y=-6.005942 R=-156.738968;X=-26.690 Y=6.106 Z=-0.993;P=-47.079369 Y=-7.710670 R=3.985767;0;0;X=-25.238 Y=6.167 Z=-1.774;X=0.665 Y=-0.054 Z=-0.745
0:1:486;None;None;X=-17.049 Y=19.946 Z=-72.706;P=42.826229 Y=162.082504 R=10.190833;X=-20.777 Y=-17.140 Z=-75.482;P=-37.288818 Y=-6.005942 R=-156.738968;X=-13.540 Y=4.571 Z=-2.957;P=-53.311050 Y=-5.985538 R=2.620864;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:926;None;None;X=1.485 Y=15.001 Z=-70.888;P=42.441917 Y=156.437790 R=22.134045;X=-20.777 Y=-17.140 Z=-75.482;P=-37.288818 Y=-6.005942 R=-156.738968;X=3.112 Y=-1.527 Z=-3.658;P=-58.425571 Y=-9.523146 R=0.516680;0;0;X=3.704 Y=-1.386 Z=-4.444;X=0.433 Y=-0.091 Z=-0.897
0:2:406;None;None;X=9.929 Y=22.935 Z=-72.420;P=42.943111 Y=165.274139 R=25.436054;X=12.605 Y=-12.261 Z=-71.322;P=-41.985180 Y=4.432227 R=164.500870;X=13.751 Y=6.176 Z=-6.841;P=-65.966309 Y=-8.315223 R=2.169860;0;0;X=15.087 Y=7.860 Z=-7.812;X=0.225 Y=-0.112 Z=-0.968
0:2:922;None;banana;X=17.840 Y=34.882 Z=-73.571;P=45.988499 Y=157.195816 R=28.139469;X=25.204 Y=-0.946 Z=-72.370;P=-52.025867 Y=-12.294708 R=169.159195;X=20.851 Y=14.832 Z=-9.191;P=-72.636978 Y=-34.904705 R=20.632502;0;0;X=21.079 Y=14.665 Z=-9.971;X=0.132 Y=-0.252 Z=-0.959
0:3:440;None;None;X=19.804 Y=15.614 Z=-68.923;P=46.853497 Y=137.121292 R=11.941814;X=19.695 Y=-12.225 Z=-69.450;P=-42.133663 Y=-19.405987 R=174.533066;X=16.801 Y=6.445 Z=-8.412;P=-71.666817 Y=-32.560566 R=9.147143;0;0;X=16.403 Y=4.815 Z=-9.061;X=0.160 Y=-0.193 Z=-0.968
0:3:921;None;None;X=17.883 Y=5.743 Z=-69.106;P=43.725613 Y=131.797028 R=17.179256;X=17.392 Y=-20.046 Z=-67.719;P=-35.592907 Y=-16.811918 R=160.587280;X=12.714 Y=-4.101 Z=-8.857;P=-71.216484 Y=-32.491570 R=5.431248;0;0;X=12.748 Y=-4.673 Z=-9.564;X=0.097 Y=-0.236 Z=-0.967
0:4:420;None;None;X=14.509 Y=8.414 Z=-70.553;P=48.069607 Y=129.405182 R=10.403028;X=16.250 Y=-20.200 Z=-62.940;P=-31.203218 Y=-11.733414 R=151.494598;X=10.296 Y=-2.101 Z=-8.467;P=-69.498642 Y=-41.865902 R=10.562711;0;0;X=10.786 Y=-1.930 Z=-9.182;X=0.106 Y=-0.268 Z=-0.958
0:4:906;None;None;X=13.227 Y=11.618 Z=-71.101;P=43.918385 Y=122.240845 R=12.377246;X=8.757 Y=-26.871 Z=-55.907;P=-19.875160 Y=-34.293232 R=166.873978;X=9.409 Y=2.098 Z=-6.693;P=-62.376015 Y=-55.598602 R=20.432236;0;0;X=9.116 Y=1.829 Z=-6.244;X=0.233 Y=-0.568 Z=-0.790
0:5:410;None;None;X=11.682 Y=8.509 Z=-70.870;P=48.449020 Y=136.830353 R=7.136136;X=14.638 Y=-40.468 Z=-64.712;P=-28.630417 Y=-41.466232 R=-176.543930;X=9.873 Y=-9.763 Z=-5.675;P=-59.936729 Y=-47.521091 R=19.686247;0;0;X=10.241 Y=-10.421 Z=-6.340;X=0.259 Y=-0.385 Z=-0.886
0:5:900;None;None;X=6.746 Y=6.405 Z=-76.281;P=48.449032 Y=136.830353 R=7.136154;X=24.008 Y=-40.416 Z=-68.546;P=-34.295250 Y=-23.865486 R=-179.952805;X=12.083 Y=-16.764 Z=-7.027;P=-65.638908 Y=-34.577213 R=17.225481;0;0;X=12.640 Y=-16.778 Z=-7.817;X=0.249 Y=-0.325 Z=-0.912
0:6:410;None;orange;X=6.746 Y=6.405 Z=-76.281;P=48.449032 Y=136.830353 R=7.136154;X=26.411 Y=-38.935 Z=-69.225;P=-33.436604 Y=-18.664358 R=-179.502869;X=12.253 Y=-16.017 Z=-7.144;P=-65.244461 Y=-26.290445 R=16.009277;0;0;X=12.706 Y=-15.882 Z=-7.743;X=0.400 Y=-0.052 Z=-0.915
0:6:900;None;None;X=6.746 Y=6.405 Z=-76.281;P=48.449032 Y=136.830353 R=7.136154;X=32.444 Y=-25.834 Z=-67.077;P=-32.525024 Y=0.435180 R=175.889389;X=12.676 Y=-10.923 Z=-6.637;P=-64.400810 Y=-17.921707 R=13.673897;0;0;X=13.400 Y=-9.927 Z=-7.288;X=0.384 Y=-0.148 Z=-0.911
0:7:427;None;None;X=6.746 Y=6.405 Z=-76.281;P=48.449032 Y=136.830353 R=7.136154;X=23.959 Y=-4.595 Z=-94.659;P=-35.645409 Y=5.472873 R=176.193436;X=15.066 Y=-4.475 Z=-6.967;P=-65.740112 Y=-17.709263 R=15.817638;0;0;X=15.753 Y=-3.770 Z=-7.726;X=0.364 Y=-0.088 Z=-0.927
0:7:948;None;None;X=9.249 Y=14.829 Z=-59.892;P=-16.878981 Y=160.093445 R=-12.927071;X=36.157 Y=-14.166 Z=-67.751;P=-35.799370 Y=5.594502 R=170.338470;X=16.815 Y=3.087 Z=-7.294;P=-66.175087 Y=-13.918845 R=16.671259;0;0;X=17.392 Y=4.363 Z=-7.975;X=0.349 Y=-0.117 Z=-0.930
0:8:447;None;None;X=9.437 Y=21.096 Z=-71.006;P=49.582352 Y=164.945114 R=16.670382;X=33.413 Y=-18.517 Z=-58.983;P=-22.757690 Y=-7.409183 R=-166.056625;X=16.564 Y=9.057 Z=-5.360;P=-57.387924 Y=-17.694923 R=10.451621;0;0;X=17.053 Y=9.030 Z=-5.913;X=0.534 Y=-0.231 Z=-0.814
0:8:877;None;None;X=13.310 Y=19.629 Z=-71.773;P=35.883266 Y=136.734604 R=16.783619;X=9.964 Y=-27.610 Z=-62.306;P=-31.228245 Y=-37.270546 R=-165.132233;X=10.764 Y=8.689 Z=-9.278;P=-71.244652 Y=-40.331051 R=21.647280;0;0;X=11.023 Y=8.850 Z=-10.119;X=0.116 Y=-0.187 Z=-0.975
0:9:422;None;banana;X=3.134 Y=18.848 Z=-70.343;P=43.534805 Y=143.839966 R=26.571615;X=7.025 Y=-10.547 Z=-71.407;P=-51.977879 Y=-11.992991 R=162.631165;X=2.242 Y=3.597 Z=-7.969;P=-69.662689 Y=-13.477005 R=1.050275;0;0;X=2.690 Y=3.918 Z=-8.799;X=0.323 Y=-0.064 Z=-0.944
0:9:900;None;banana;X=3.392 Y=30.491 Z=-71.245;P=43.715416 Y=157.532059 R=24.044436;X=19.358 Y=-0.824 Z=-68.663;P=-45.078403 Y=-1.194330 R=147.614594;X=7.986 Y=13.568 Z=-7.402;P=-65.950714 Y=-16.032146 R=6.570038;0;0;X=8.063 Y=13.090 Z=-7.994;X=0.492 Y=-0.011 Z=-0.870
0:10:430;None;banana;X=10.885 Y=35.570 Z=-71.151;P=41.641254 Y=155.202255 R=24.642681;X=31.258 Y=7.171 Z=-66.503;P=-38.343895 Y=-1.283575 R=154.671066;X=12.928 Y=20.419 Z=-7.056;P=-64.474213 Y=-12.768910 R=8.369306;0;0;X=14.127 Y=21.393 Z=-7.734;X=0.432 Y=-0.121 Z=-0.894
0:11:0;None;None;X=4.647 Y=34.577 Z=-72.331;P=52.067787 Y=177.934418 R=14.954982;X=40.395 Y=12.734 Z=-61.748;P=-26.943108 Y=16.576731 R=171.108978;X=15.923 Y=18.225 Z=-5.429;P=-61.798611 Y=-0.462281 R=6.593180;0;0;X=16.719 Y=17.988 Z=-6.086;X=0.410 Y=-0.049 Z=-0.911
0:11:401;None;None;X=14.726 Y=27.127 Z=-70.686;P=39.972256 Y=167.602356 R=28.715250;X=41.093 Y=-0.014 Z=-60.715;P=-18.848972 Y=12.026039 R=-171.141083;X=18.080 Y=12.529 Z=-4.302;P=-59.618561 Y=4.435652 R=-0.026154;0;1;X=18.676 Y=12.221 Z=-5.078;X=0.385 Y=-0.017 Z=-0.923
0:11:899;None;None;X=20.945 Y=23.266 Z=-68.159;P=49.330925 Y=164.071945 R=18.505419;X=40.267 Y=5.220 Z=-65.031;P=-31.445473 Y=14.311136 R=173.062653;X=23.507 Y=8.853 Z=-4.839;P=-60.766045 Y=7.622435 R=-5.265384;0;1;X=24.002 Y=9.507 Z=-5.705;X=0.357 Y=0.023 Z=-0.934
0:12:531;None;None;X=27.376 Y=31.283 Z=-63.349;P=40.329731 Y=134.035126 R=17.650845;X=43.159 Y=11.169 Z=-66.076;P=-34.846565 Y=7.930455 R=179.514893;X=30.719 Y=22.058 Z=-5.562;P=-63.047043 Y=-8.847787 R=6.804839;0;1;X=32.346 Y=23.305 Z=-5.286;X=0.534 Y=-0.224 Z=-0.815
0:12:900;None;None;X=32.270 Y=25.687 Z=-59.202;P=29.197411 Y=116.283119 R=12.687270;X=40.642 Y=1.202 Z=-61.409;P=-28.023479 Y=-10.412027 R=-172.536896;X=32.549 Y=20.509 Z=-2.308;P=-49.681179 Y=-27.977346 R=9.373349;0;1;X=33.422 Y=20.071 Z=-2.730;X=0.601 Y=-0.407 Z=-0.688
0:13:421;None;None;X=32.319 Y=16.625 Z=-56.533;P=27.896540 Y=126.852913 R=23.348686;X=65.629 Y=-9.318 Z=-51.596;P=1.013573 Y=-5.380212 R=-133.089722;X=38.634 Y=7.878 Z=-1.996;P=-45.693596 Y=-17.935188 R=6.098062;0;1;X=39.263 Y=8.389 Z=-2.481;X=0.670 Y=-0.271 Z=-0.691
0:13:929;None;None;X=34.299 Y=13.860 Z=-61.090;P=35.743343 Y=132.306671 R=12.562999;X=82.313 Y=-15.773 Z=-59.189;P=1.508878 Y=-18.309568 R=-125.165817;X=50.369 Y=3.535 Z=-7.490;P=-48.754456 Y=-18.218271 R=7.429917;0;1;X=51.304 Y=3.077 Z=-8.152;X=0.583 Y=-0.282 Z=-0.762
0:14:397;None;bleach_cleanser;X=34.299 Y=13.860 Z=-61.090;P=35.743343 Y=132.306671 R=12.562999;X=86.129 Y=-13.788 Z=-60.650;P=4.941259 Y=-10.168183 R=-129.858337;X=53.924 Y=4.188 Z=-9.221;P=-50.610004 Y=-18.082224 R=8.583359;0;1;X=54.713 Y=4.462 Z=-9.832;X=0.559 Y=-0.310 Z=-0.769
0:14:903;None;bleach_cleanser;X=33.128 Y=17.525 Z=-59.877;P=37.057133 Y=133.837006 R=18.250860;X=79.766 Y=-6.751 Z=-52.648;P=8.747785 Y=-2.345690 R=-134.471390;X=46.918 Y=9.639 Z=-5.395;P=-50.839504 Y=-12.969714 R=8.134687;0;1;X=47.325 Y=9.869 Z=-5.915;X=0.596 Y=-0.209 Z=-0.775
0:15:396;None;bleach_cleanser;X=29.934 Y=22.089 Z=-59.086;P=26.724487 Y=135.919678 R=27.512123;X=66.640 Y=5.699 Z=-48.409;P=7.707212 Y=11.008328 R=-134.257339;X=35.787 Y=18.570 Z=-2.948;P=-53.477890 Y=-7.064336 R=8.098499;0;1;X=35.686 Y=18.705 Z=-3.530;X=0.447 Y=0.025 Z=-0.894
0:15:930;None;None;X=29.270 Y=26.038 Z=-58.456;P=24.150871 Y=137.102905 R=31.948977;X=59.649 Y=14.132 Z=-48.945;P=3.920255 Y=18.691687 R=-132.033966;X=30.430 Y=24.547 Z=-3.069;P=-56.984348 Y=-3.376833 R=7.308015;0;1;X=30.908 Y=24.823 Z=-3.575;X=0.563 Y=-0.162 Z=-0.810
0:16:450;None;None;X=33.902 Y=26.481 Z=-56.005;P=15.885995 Y=134.239609 R=31.785328;X=54.996 Y=3.680 Z=-45.688;P=6.453770 Y=0.833114 R=-132.430374;X=27.739 Y=26.226 Z=-1.548;P=-51.351772 Y=-14.862871 R=8.162099;0;1;X=27.888 Y=26.026 Z=-2.117;X=0.558 Y=-0.295 Z=-0.776
0:16:911;None;None;X=52.576 Y=20.268 Z=-47.927;P=-14.264009 Y=159.287796 R=44.524288;X=45.602 Y=-4.609 Z=-40.990;P=8.751180 Y=-11.130830 R=-132.446075;X=23.091 Y=22.853 Z=-0.419;P=-47.248413 Y=-25.834486 R=5.576649;0;1;X=23.765 Y=22.367 Z=-0.841;X=0.678 Y=-0.232 Z=-0.698
0:17:450;None;None;X=61.048 Y=13.785 Z=-48.401;P=-14.239536 Y=168.379196 R=44.739792;X=39.767 Y=-14.446 Z=-45.300;P=-3.518995 Y=-14.838952 R=-133.014709;X=22.343 Y=15.416 Z=0.005;P=-47.142113 Y=-12.182819 R=-2.706513;0;1;X=23.393 Y=15.447 Z=-0.554;X=0.675 Y=-0.049 Z=-0.736
0:17:920;None;None;X=59.112 Y=13.726 Z=-50.318;P=-9.197805 Y=163.254654 R=39.529758;X=43.207 Y=-10.469 Z=-49.051;P=-6.659407 Y=-1.914760 R=-131.799500;X=23.728 Y=12.366 Z=-0.810;P=-50.302303 Y=-5.817508 R=-5.307406;0;2;X=24.540 Y=12.812 Z=-1.401;X=0.602 Y=-0.076 Z=-0.795
0:18:420;None;None;X=53.648 Y=21.204 Z=-49.578;P=-1.901791 Y=155.509384 R=43.571064;X=54.306 Y=1.375 Z=-56.998;P=-17.802853 Y=6.823260 R=-145.551010;X=28.052 Y=14.094 Z=-2.565;P=-56.240219 Y=-3.406677 R=-2.629120;0;2;X=29.075 Y=14.654 Z=-3.295;X=0.518 Y=-0.088 Z=-0.851
0:18:915;None;bleach_cleanser;X=45.314 Y=38.648 Z=-54.175;P=10.158950 Y=171.377106 R=41.520969;X=54.467 Y=14.646 Z=-59.942;P=-17.999146 Y=24.734291 R=-134.406311;X=31.993 Y=20.990 Z=-4.010;P=-59.479927 Y=-0.669068 R=-0.402435;0;2;X=32.733 Y=21.958 Z=-4.741;X=0.475 Y=-0.064 Z=-0.878
0:19:420;None;None;X=42.091 Y=40.641 Z=-58.330;P=16.232107 Y=173.945450 R=31.830835;X=43.913 Y=22.015 Z=-63.973;P=-30.241699 Y=33.614876 R=-114.508278;X=31.666 Y=27.342 Z=-4.868;P=-61.579296 Y=-3.413787 R=4.400956;0;2;X=32.158 Y=28.329 Z=-5.662;X=0.388 Y=-0.067 Z=-0.919
0:19:926;None;None;X=42.738 Y=39.602 Z=-60.319;P=17.908085 Y=166.378799 R=34.800293;X=44.139 Y=18.196 Z=-53.611;P=-20.116013 Y=28.481056 R=-121.074478;X=31.612 Y=29.279 Z=-5.114;P=-62.073765 Y=-11.815054 R=9.664784;0;3;X=32.002 Y=29.596 Z=-6.019;X=0.396 Y=-0.103 Z=-0.912
0:20:398;None;None;X=41.778 Y=33.350 Z=-57.379;P=15.853319 Y=167.267151 R=33.807449;X=43.098 Y=-2.983 Z=-51.594;P=-17.147585 Y=5.713982 R=-131.078888;X=28.673 Y=18.381 Z=-2.322;P=-53.275658 Y=-19.265202 R=9.196747;0;3;X=29.532 Y=19.264 Z=-3.213;X=0.486 Y=-0.355 Z=-0.798
0:21:1;None;None;X=37.861 Y=25.265 Z=-54.639;P=16.327696 Y=169.834900 R=38.375744;X=42.067 Y=-21.033 Z=-56.207;P=-20.831188 Y=-7.545037 R=-144.997772;X=26.070 Y=5.701 Z=-4.748;P=-62.125130 Y=-24.924547 R=12.668812;0;3;X=26.789 Y=4.412 Z=-5.692;X=0.453 Y=-0.386 Z=-0.804
0:21:420;None;None;X=31.237 Y=23.838 Z=-56.882;P=27.078728 Y=-178.591995 R=32.814701;X=51.650 Y=-34.505 Z=-60.333;P=-20.386030 Y=-27.300879 R=-168.928497;X=30.016 Y=-2.319 Z=-6.955;P=-60.187855 Y=-24.321810 R=17.907621;0;3;X=30.795 Y=-2.348 Z=-7.872;X=0.460 Y=-0.394 Z=-0.796
